variant,backend_mode,run_id,run_json,version,timestamp,model_id,model_family,model_parameter_count,model_quantization,machine_id,machine_cpu,machine_gpu,machine_gpu_memory_gb,machine_system_memory_gb,machine_os,machine_backend,machine_is_remote,machine_remote_host,machine_endpoint,machine_hardware_label,provider,harness,harness_version,total_runtime_sec,overall_score,quality_score,speed_score,reliability_score,value_score,speed_metrics_ttft_ms,speed_metrics_prompt_eval_tok_per_sec,speed_metrics_generation_tok_per_sec,speed_metrics_total_latency_ms,suite_agent_score,suite_agent_task_count,suite_agent_pass_count,suite_agent_fail_count,suite_agent_median_latency_ms,suite_coding_score,suite_coding_task_count,suite_coding_pass_count,suite_coding_fail_count,suite_coding_median_latency_ms,suite_dataextract_score,suite_dataextract_task_count,suite_dataextract_pass_count,suite_dataextract_fail_count,suite_dataextract_median_latency_ms,suite_instructfollow_score,suite_instructfollow_task_count,suite_instructfollow_pass_count,suite_instructfollow_fail_count,suite_instructfollow_median_latency_ms,suite_reasonmath_score,suite_reasonmath_task_count,suite_reasonmath_pass_count,suite_reasonmath_fail_count,suite_reasonmath_median_latency_ms,suite_speed_score,suite_speed_task_count,suite_speed_pass_count,suite_speed_fail_count,suite_speed_median_latency_ms,suite_toolcall_score,suite_toolcall_task_count,suite_toolcall_pass_count,suite_toolcall_fail_count,suite_toolcall_median_latency_ms
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,0.1.0,2026-06-05T23:49:38.780381+00:00,gemma-4-12B-it-qat-UD-Q4_K_XL,,,,remote:127.0.0.1,,Apple M1 Pro,25,0,remote,ollama,true,127.0.0.1,http://127.0.0.1:8091,Apple M1 Pro 32GB unified memory,openai_compat,raw,v1,1477.4315332499973,77.79130243445694,86.24833333333333,50.65,80.89887640449437,10.955375175199475,0,0,15.701243672868934,11476.956574112086,96.88,8,7,1,0,100,12,12,0,35135.0962505021,81.73,15,10,5,14292.2905000014,75.55,15,10,5,2565.8767499990063,80,15,12,3,19744.457291002618,50.65,9,9,0,9905.488417003653,83.33,15,12,3,1516.1589170020306
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,0.1.0,2026-06-05T23:36:58.851555+00:00,gemma-4-E4B-it-qat-UD-Q4_K_XL,,,,remote:127.0.0.1,,Apple M1 Pro,25,0,remote,ollama,true,127.0.0.1,http://127.0.0.1:8091,Apple M1 Pro 32GB unified memory,openai_compat,raw,v1,757.3009243330016,77.53422471910113,83.32000000000001,64.44,75.28089887640449,21.16869601611705,0,0,33.74893318037305,5191.336680666103,96.88,8,7,1,0,100,12,12,0,21996.322354010772,81.37,15,9,6,5379.371666000225,66.67,15,8,7,1415.1008329936303,80,15,12,3,10307.471541993436,64.44,9,9,0,4622.170957998605,75,15,10,5,711.306416997104
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-07-10-218031-00-00-gemma-4-E2B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL.run.json,0.1.0,2026-06-05T23:07:10.218031+00:00,gemma-4-E2B-it-qat-UD-Q4_K_XL,,,,remote:127.0.0.1,,Apple M1 Pro,25,0,remote,ollama,true,127.0.0.1,http://127.0.0.1:8091,Apple M1 Pro 32GB unified memory,openai_compat,raw,v1,535.5820287080132,79.77114138576779,84.12166666666667,73.42,75.28089887640449,35.01575076093192,0,0,55.293079427829596,3333.0754583326375,96.88,8,7,1,0,100,12,12,0,13875.344332998793,70.07,15,6,9,3453.8614580087597,67.78,15,8,7,828.6402499943506,80,15,12,3,8575.006999992183,73.42,9,9,0,2872.287584003061,90,15,13,2,407.6292499958072
