"Model","LoadGiB","TextGenTPS","ImageGenTPS","ToolGenTPS","HardTS","LRU","Parser","Dijkstra","Topo","AgentScoped","AgentBroad"
"Unsloth-Gemma4-E4B-it-UD-Q4_K_XL","8.43","52.08","47.1","47.24","21/25","6/6","5/7","4/6","6/6","60/60","60/60"
"Unsloth-Gemma4-E4B-it-Q5_K_M","8.77","46.63","43.33","43.79","22/25","6/6","6/7","4/6","6/6","60/60","60/60"
"Unsloth-Gemma4-E4B-it-Q4_K_M","8.19","52.93","48.43","48.8","23/25","6/6","7/7","4/6","6/6","60/60","60/60"
"Unsloth-Gemma4-E4B-it-Q4_K_S","8.07","54.7","49.95","50.37","16/25","0/6","6/7","4/6","6/6","60/60","60/60"
"Unsloth-Gemma4-E4B-it-IQ4_NL","8.07","55.56","50.01","50.8","19/25","4/6","5/7","4/6","6/6","60/60","60/60"
"Unsloth-Gemma4-E4B-it-IQ4_XS","7.94","54.8","49.2","50.08","20/25","6/6","4/7","4/6","6/6","60/60","60/60"
"Unsloth-Gemma4-E4B-it-Q4_1","8.29","51.38","47.48","47.97","23/25","6/6","7/7","4/6","6/6","60/60","60/60"
"Unsloth-Gemma4-E4B-it-Q4_0","8.07","54.73","49.95","50.85","16/25","6/6","0/7","4/6","6/6","60/60","60/60"
