"Model","LoadGiB","TextGenTPS","ImageGenTPS","ToolGenTPS","HardTS","AgentScoped","AgentBroad"
"Unsloth-Gemma4-E2B-it-Q5_K_M","5.38","86.95","76.96","75.01","21/25","60/60","60/60"
"Unsloth-Gemma4-E2B-it-Q6_K","5.68","77.43","69.36","67.74","14/25","60/60","60/60"
"Unsloth-Gemma4-E2B-it-UD-Q6_K_XL","5.96","73.02","64.75","64.8","10/25","60/60","60/60"
