"Model","LoadGiB","TextGenTPS","ImageGenTPS","ToolGenTPS","HardTS","AgentScoped","AgentBroad"
"Unsloth-Qwen3.5-4B-Q5_K_M","10.13","54.9","52.3","52.38","12/25","48/60","55/60"
"Jackrong-Qwopus3.5-4B-v3-Q5_K_M","10.07","56.36","53.18","53.33","6/25","55/60","55/60"
"Jackrong-Qwopus3.6-35B-A3B-v1-Q4_K_M","25.5","70.03","62.95","63.05","16/25","55/60","55/60"
