"Time","Model","Problem","Passed","Total","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","TypeScriptPath","Note","Log"
"2026-05-24T15:38:35","Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP","lru_cache","6","6","207.33771078725542","23.62335747529208","284","821","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP-lru_cache.ts","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP-lru_cache.response.json"
"2026-05-24T15:39:14","Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP","expression_parser","7","7","192.61376884320225","23.234001792950906","171","833","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP-expression_parser.ts","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP-expression_parser.response.json"
"2026-05-24T15:40:45","Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP","weighted_grid_dijkstra","0","6","173.94411966090388","22.769794363344186","220","1344","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP-weighted_grid_dijkstra.ts","basic: expected '4', got 'TIMEOUT after 5s' | unreachable: expected '-1', got 'TIMEOUT after 5s' | zero_corridor: expected '0', got 'TIMEOUT after 5s' | choose_longer_cheaper: expected '18', got 'TIMEOUT after 5s' | single_row: expected '6', got 'TIMEOUT after 5s' | around_wall: expected '11', got 'TIMEOUT after 5s'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP-weighted_grid_dijkstra.response.json"
"2026-05-24T15:41:28","Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP","topological_scheduler","6","6","195.45687155285154","23.350991259421317","220","949","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP-topological_scheduler.ts","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Qwopus3.6-27B-v2-IQ4_XS-262k-q8q8-MTP-topological_scheduler.response.json"
"2026-05-24T15:42:08","Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8","lru_cache","6","6","898.5452272946328","53.74712556238099","289","1040","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8-lru_cache.ts","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8-lru_cache.response.json"
"2026-05-24T15:42:33","Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8","expression_parser","7","7","688.5532437037102","53.31577427004831","156","1239","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8-expression_parser.ts","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8-expression_parser.response.json"
"2026-05-24T15:42:55","Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8","weighted_grid_dijkstra","4","6","766.2663392279774","53.327347350835474","205","1089","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8-weighted_grid_dijkstra.ts","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8-weighted_grid_dijkstra.response.json"
"2026-05-24T15:43:19","Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8","topological_scheduler","6","6","766.7350307260565","53.17357708234267","203","1171","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8-topological_scheduler.ts","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\hard-code-Gemma4-26B-A4B-Opus-Distill-Q4_K_M-262k-q8q8-topological_scheduler.response.json"
