"Time","Model","Mode","Passed","Total","LoadCommittedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","Note","Log"
"2026-06-07T11:07:47","Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL","text","","","31296.27","100.251915068634","11.691716819492251","39","210","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL-text.response.json"
"2026-06-07T11:07:52","Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL","vision","1","1","31296.27","109.74720505174827","11.876428140483892","312","25","The image features a red square and a blue circle above the black text ""QWEN"" on a white background.","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL-vision.response.json"
"2026-06-07T11:07:54","Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL","tool","1","1","31296.27","145.5494017352513","12.40173348674737","77","18","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL-tool.response.json"
"2026-06-07T11:09:20","Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL","code:lru_cache","6","6","31296.27","185.65401928103714","11.438754269007909","289","953","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL-lru_cache.response.json"
"2026-06-07T11:10:21","Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL","code:expression_parser","7","7","31296.27","200.15011258443832","11.542081819667855","172","671","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL-expression_parser.response.json"
"2026-06-07T11:11:57","Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL","code:weighted_grid_dijkstra","4","6","31296.27","179.20360455250298","11.480749106597473","196","1075","choose_longer_cheaper: expected '18', got '0' | around_wall: expected '11', got '0'","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL-weighted_grid_dijkstra.response.json"
"2026-06-07T11:13:25","Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL","code:topological_scheduler","6","6","31296.27","171.60882387804097","11.48540202484603","194","984","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\new-model-Unsloth-Gemma4-31B-it-QAT-UD-Q4_K_XL-topological_scheduler.response.json"
