"Time","Variant","Mode","ExitCode","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","DraftTokens","AcceptedDraftTokens","AcceptRate","VisionSeen","Note","Log"
"2026-05-20T17:04:58","baseline","text","0","115.46677443565613","18.010452816553407","36","512","449","286","0.636971046770601","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-baseline-text.response.json"
"2026-05-20T17:05:28","baseline","image","0","137.12727872090048","20.756683839434423","1109","194","146","121","0.828767123287671","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-baseline-image.response.json"
"2026-05-20T17:12:40","draft-mtp-ngram","text","1","","","","","","","","","The request was aborted: The operation has timed out.","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-draft-mtp-ngram-text.response.json"
"2026-05-20T17:13:13","draft-mtp-ngram","image","0","144.4948880861685","17.999168224878556","1109","236","195","170","0.871794871794872","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-draft-mtp-ngram-image.response.json"
