"Time","Mode","ExitCode","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","DraftTokens","AcceptedDraftTokens","VisionSeen","Note","Log"
"2026-05-20T16:56:12","text","0","111.42785510664574","18.374420079795943","36","512","437","291","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-active-text.response.json"
"2026-05-20T16:56:44","image","0","139.0014681011685","20.983209403700833","1109","250","186","156","True","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\qwopus27-active-image.response.json"
