"Time","Model","Mode","ExitCode","LoadLocalMiB","LoadDedicatedMiB","LoadSharedMiB","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","ReasoningChars","ContentChars","VisionSeen","TestsPassed","TestsTotal","Note","Log"
"2026-05-23T01:40:10","Qwopus27-v2-Q3_K_L","text","0","31246.14","28119.58","3126.56","86.2667928804249","17.644061522361334","37","256","978","0","","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\Qwopus27-v2-Q3_K_L.text.response.json"
"2026-05-23T01:40:33","Qwopus27-v2-Q3_K_L","vision","0","31246.14","28119.58","3126.56","112.32022181268835","20.229318287777858","1109","256","979","0","True","","","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\Qwopus27-v2-Q3_K_L.vision.response.json"
"2026-05-23T01:44:50","Qwopus27-v2-Q3_K_L","typescript","0","31246.14","28119.58","3126.56","128.91415606347732","21.242981209776698","210","5387","15663","2474","","8","8","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\Qwopus27-v2-Q3_K_L.code.response.json"
