"Model","LoadGiB","TextGenTPS","ImageGenTPS","ToolGenTPS","HardTS","AgentScoped","AgentBroad"
"Unsloth-Gemma4-E2B-it-Q4_K_M","5.12","95.84","89.32","82.61","20/25","55/60","60/60"
"Unsloth-Gemma4-E2B-it-UD-Q4_K_XL","5.23","93.06","85.01","80.27","17/25","60/60","60/60"
