"Model","Mode","Passed","Total","GenTPS"
"Unsloth-Gemma4-E2B-it-Q4_K_M","code:lru_cache","6","6","81.24"
"Unsloth-Gemma4-E2B-it-Q4_K_M","code:expression_parser","4","7","82.08"
"Unsloth-Gemma4-E2B-it-Q4_K_M","code:weighted_grid_dijkstra","4","6","81.89"
"Unsloth-Gemma4-E2B-it-Q4_K_M","code:topological_scheduler","6","6","81.94"
"Unsloth-Gemma4-E2B-it-UD-Q4_K_XL","code:lru_cache","6","6","78.96"
"Unsloth-Gemma4-E2B-it-UD-Q4_K_XL","code:expression_parser","1","7","78.78"
"Unsloth-Gemma4-E2B-it-UD-Q4_K_XL","code:weighted_grid_dijkstra","4","6","79.08"
"Unsloth-Gemma4-E2B-it-UD-Q4_K_XL","code:topological_scheduler","6","6","78.96"
