iteration,candidate,model_count,average_quality_score,average_overall_score,average_speed_score,average_reliability_score,average_value_score,min_quality_score,min_overall_score,total_runtime_sec
1,promoted-extra5-control,2,86.00833333333333,79.07860580524346,61.96,77.52808988764045,20.232304777315548,85.68166666666666,79.00607022471911,1086.6661751659994
2,json-768-instruction-448-default-288,2,85.29833333333332,78.52420692883895,62.545,76.40449438202248,20.829927089775026,84.71166666666666,76.98764138576779,1065.748806876043
3,tool-rescue-reason-1024-default-256,2,85.74916666666667,79.29851357677903,63.07,78.08988764044943,21.314704243314416,84.10166666666666,78.55414138576779,1096.548941542016
