model,run_id,candidate,suite,average_task_score,failed_or_partial,task_count
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,coding,100,0,12
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,coding,100,0,12
E4B,extra5-i05,balanced-retry-empty-json-320-896,coding,100,0,12
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,dataextract,89.4,10,15
E4B,extra3-i03,tool-rescue-reason-1024-default-256,dataextract,89.33333333333333,10,15
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,dataextract,89.26666666666667,10,15
E4B,extra5-i02,json-640-tool-256-coding-128,dataextract,89.2,10,15
E4B,extra3-i01,promoted-extra5-control,dataextract,88.26666666666667,10,15
E4B,extra5-i05,balanced-retry-empty-json-320-896,dataextract,87.8,10,15
E4B,extra3-i02,json-768-instruction-448-default-288,dataextract,86.26666666666667,10,15
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,dataextract,84.8,10,15
E4B,extra5-i02,json-640-tool-256-coding-128,instructfollow,70,6,15
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,instructfollow,68.88666666666667,6,15
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,instructfollow,66.66666666666667,7,15
E4B,extra5-i05,balanced-retry-empty-json-320-896,instructfollow,66.66666666666667,7,15
E4B,extra3-i02,json-768-instruction-448-default-288,instructfollow,64.44666666666667,8,15
E4B,extra3-i01,promoted-extra5-control,instructfollow,63.333333333333336,8,15
E4B,extra3-i03,tool-rescue-reason-1024-default-256,instructfollow,63.333333333333336,8,15
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,instructfollow,56.666666666666664,10,15
E4B,extra3-i01,promoted-extra5-control,reasonmath,80,3,15
E4B,extra3-i03,tool-rescue-reason-1024-default-256,reasonmath,80,3,15
E4B,extra5-i05,balanced-retry-empty-json-320-896,reasonmath,80,3,15
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,reasonmath,73.33333333333333,4,15
E4B,extra5-i02,json-640-tool-256-coding-128,reasonmath,73.33333333333333,4,15
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,reasonmath,67.33333333333333,6,15
