variant,base_model,sampler_label,sampler_id,temp,top_p,top_k,run_id,run_json,model_id,suite_name,task_id,trial_index,trial_warmup,trial_passed,trial_score,trial_latency_ms,trial_tokens_generated,trial_tokens_prompt,trial_error,trial_speed_metrics_generation_tok_per_sec,trial_speed_metrics_total_latency_ms
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-medium-001,2,false,true,62.28,5378.15779200173,160,20,,29.74996387014681,5378.15779200173
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-medium-001,3,false,true,62.11,5428.109708998818,160,20,,29.476191266869407,5428.109708998818
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-medium-002,1,true,true,62.25,5387.327333010035,160,20,,29.699327720375216,5387.327333010035
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-medium-002,2,false,true,61.78,5530.299624981126,160,20,,28.9315246640992,5530.299624981126
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-medium-002,3,false,true,62.07,5442.699041013839,160,20,,29.39717937631841,5442.699041013839
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-medium-003,1,true,true,62.32,5365.440374996979,160,17,,29.820478621960287,5365.440374996979
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-medium-003,2,false,true,61.77,5531.244332989445,160,17,,28.926583308881884,5531.244332989445
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-medium-003,3,false,true,62.03,5453.369082999416,160,17,,29.339660962759954,5453.369082999416
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-001,1,true,true,62.16,12994.579291989794,384,20,,29.55078355146964,12994.579291989794
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,speed,speed-long-001,2,false,true,62.3,12895.078500005184,384,20,,29.778802819994127,12895.078500005184
