variant,run_id,run_json,model_id,provider,harness,suite_name,task_id,trial_index,trial_warmup,trial_passed,trial_score,trial_latency_ms,trial_tokens_generated,trial_tokens_prompt,trial_error,trial_speed_metrics_ttft_ms,trial_speed_metrics_prompt_eval_tok_per_sec,trial_speed_metrics_generation_tok_per_sec,trial_speed_metrics_total_latency_ms
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-medium-002","3","false","true","60.14","5713.757708996127","151","20","","0","0","26.42744192009671","5713.757708996127"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-medium-003","1","true","true","60.26","6015.3962499971385","160","17","","0","0","26.59841402801621","6015.3962499971385"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-medium-003","2","false","true","60.43","5955.919499996526","160","17","","0","0","26.864029978929924","5955.919499996526"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-medium-003","3","false","true","60.35","5982.732167001814","160","17","","0","0","26.74363410123746","5982.732167001814"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-001","1","true","true","60.56","14194.557124996209","384","20","","0","0","27.05262282003762","14194.557124996209"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-001","2","false","true","60.75","14051.050207999651","384","20","","0","0","27.32891807484811","14051.050207999651"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-001","3","false","true","60.61","14153.307624997979","384","20","","0","0","27.131467087012805","14153.307624997979"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-002","1","true","true","60.61","14155.463625000266","384","21","","0","0","27.127334729030665","14155.463625000266"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-002","2","false","true","60.55","14200.504499996896","384","21","","0","0","27.041292793511946","14200.504499996896"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-002","3","false","true","60.48","14259.632041997975","384","21","","0","0","26.92916611515848","14259.632041997975"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-003","1","true","true","60.42","14305.597375001526","384","21","","0","0","26.84263997748357","14305.597375001526"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-003","2","false","true","60.33","14379.376416000014","384","21","","0","0","26.70491326541261","14379.376416000014"
"baseline_speed_only","20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat","/Users/okasi/.bench-loop/runs/20260605-104629-gemma-4-E2B-it-Q5_K_M-local-openai_compat/run.json","gemma-4-E2B-it-Q5_K_M","openai_compat","raw","speed","speed-long-003","3","false","true","60.34","14369.507415998669","384","21","","0","0","26.723254241301515","14369.507415998669"
